Chr	Sites	Strand	Gene	Transcript	NonCR	AGcov	Acov	Genecov	Ratio	NormeRatio	Pvalue	P_adjust	Sample
chr10	47499	-	TUBB8	XM_011519460.2	0.0194	76	23	222.20689655172413	0.30263	0.296758978	2.6e-21	5.6400564544583905e-21	m6A.sites
chr10	3835789	+	ELSE	ELSE	0.0212	33	23	48.03321326411697	0.69697	0.682194236	2.4e-31	6.666962729631685e-31	m6A.sites
chr10	3899385	+	ELSE	ELSE	0.0212	60	55	48.03321326411697	0.9166700000000001	0.897236596	4.3999999999999996e-86	2.580224559873548e-85	m6A.sites
chr10	5357066	+	ELSE	ELSE	0.0212	65	64	48.03321326411697	0.98462	0.9637460560000001	4.9e-106	3.46766131684536e-105	m6A.sites
chr10	7596572	+	ELSE	ELSE	0.0212	28	11	48.03321326411697	0.39286	0.384531368	5.9999999999999995e-12	9.645101525497169e-12	m6A.sites
chr10	10426859	+	ELSE	ELSE	0.0212	25	5	48.03321326411697	0.2	0.19576000000000002	0.00016	0.0001756724597156882	m6A.sites
chr10	10432756	+	ELSE	ELSE	0.0212	22	5	48.03321326411697	0.22726999999999997	0.22245187599999997	8.3e-05	9.307583708992365e-05	m6A.sites
chr10	13300070	-	PHYH	NM_001323083.1	0.0154	27	5	124.70287539936102	0.18519000000000002	0.18233807400000002	5.3e-05	6.0294305487266514e-05	m6A.sites
chr10	13302137	-	ELSE	ELSE	0.0212	19	12	48.03321326411697	0.63158	0.6181905040000001	3.6000000000000003e-16	6.693548777326537e-16	m6A.sites
chr10	13317522	-	SEPHS1	NM_001195604.2	0.028669999999999998	36	32	118.57862595419847	0.88889	0.8634055237	2.2999999999999996e-45	8.22413008076041e-45	m6A.sites
chr10	13317537	-	SEPHS1	NM_001195604.2	0.028669999999999998	74	54	118.57862595419847	0.72973	0.7088086409000001	1.6999999999999997e-66	8.077111439863984e-66	m6A.sites
chr10	13317585	-	SEPHS1	NM_001195604.2	0.028669999999999998	217	126	118.57862595419847	0.58065	0.5640027645	2.0999999999999993e-133	1.8391367521367516e-132	m6A.sites
chr10	13317590	-	SEPHS1	NM_001195604.2	0.028669999999999998	215	43	118.57862595419847	0.2	0.19426600000000002	1.3e-23	3.0046154176646864e-23	m6A.sites
chr10	13317641	-	SEPHS1	NM_001195604.2	0.028669999999999998	270	58	118.57862595419847	0.21481	0.2086513973	4.799999999999999e-33	1.3806801411613727e-32	m6A.sites
chr10	13317703	-	SEPHS1	NM_001195604.2	0.028669999999999998	149	106	118.57862595419847	0.71141	0.6910138753	4.8999999999999985e-127	4.098328992886849e-126	m6A.sites
chr10	13317707	-	SEPHS1	NM_001195604.2	0.028669999999999998	141	64	118.57862595419847	0.4539	0.44088668700000005	2.2000000000000003e-59	9.574923646366377e-59	m6A.sites
chr10	13318309	-	SEPHS1	NM_001195604.2	0.028669999999999998	22	6	118.57862595419847	0.27273000000000003	0.26491083090000006	2.8000000000000003e-05	3.250192583641719e-05	m6A.sites
chr10	13318597	-	SEPHS1	NM_001195604.2	0.028669999999999998	120	18	118.57862595419847	0.15	0.1456995	1.1000000000000001e-08	1.5444644546670583e-08	m6A.sites
chr10	13318604	-	SEPHS1	NM_001195604.2	0.028669999999999998	177	23	118.57862595419847	0.12994	0.12621462020000002	2e-09	2.9041352876076338e-09	m6A.sites
chr10	13319218	-	SEPHS1	NM_001195604.2	0.028669999999999998	99	18	118.57862595419847	0.18182	0.1766072206	4.7e-10	7.011517609539656e-10	m6A.sites
